id,brand_id,brand_name,product_name,categories,discount,discount_rate,list_price,price,rating_average,review_count,sku,short_url,inventory_status,stock_item_qty,stock_item_max_sale_qty
67516317,317963,N6,Áo Khoác Kaki Nam Áo Khoác Nam Hai Lớp FS Chống Nắng Chống Lạnh Cao Cấp KK46 - ShopN6 (Nhiều Màu),Thời Trang,51000,21,240000,189000,4.5,173,4799210572242,https://tiki.vn/product-p67516317.html?spid=67516327,available,1000,1000
198381953,418935,KHATOCO ,Quần tây nam không ly Khatoco Q1M428R0-INMA038-2211-0-ĐEN VẢI GÂN,Quần tây nam,0,0,428000,428000,5.0,6,2908104363750,https://tiki.vn/product-p198381953.html?spid=198381955,available,1000,1000
106700369,505595,VONESA,"Quần Jean Nam Vovesa Mẫu Mới, Dáng Ôm Trẻ Trung, Nam Tính Q5",Quần jeans nam dài,0,0,99000,99000,3.5,44,2781492237691,https://tiki.vn/product-p106700369.html?spid=106700371,available,1000,1000
86988226,4469177,Chandi,"Quần Jogger Nam thể thao túi hộp thương hiệu Chandi, chất kaki bo chân xu hướng mới nhất CD5",Quần jogger nam,140000,47,299000,159000,4.5,56,1894108036878,https://tiki.vn/product-p86988226.html?spid=86988228,available,1000,1000
94107643,111461,OEM,"Áo sơ mi đen nam mặc đẹp nơi công sở, áo sơ mi cổ trụ vải lụa đen co giãn kiểu trơn basic",Root,0,0,87000,87000,4.5,8,8421431078583,https://tiki.vn/product-p94107643.html?spid=180403353,available,1000,1000
172325259,273717,GOKING,"NEVER GIVE UP, mã G174. Áo thun nam nữ in chữ siêu đẹp. Áo phông thoát nhiệt GOKING hàng hiệu cao cấp",Áo thun nam ngắn tay không cổ,0,0,99000,99000,5.0,7,1210371374919,https://tiki.vn/product-p172325259.html?spid=208411236,available,1000,1000
22654030,205249,Nanjiren,Hộp 4 quần lót nam Boxer Nanjiren( quần sịp đùi ) hàng nhập câp cấp QL3,Root,165000,41,400000,235000,4.7,428,9664676252005,https://tiki.vn/product-p22654030.html?spid=22654036,available,1000,1000
272270710,246545,dokafashion,"Áo Khoác Da Nam, Áo Khoác Da Lót Dù Cổ Vest Siêu Ấm Mùa Thu Đông Cao Cấp Thời Trang DokaFashion EDD07",Áo khoác da nam,220000,39,569000,349000,5.0,4,7612685146918,https://tiki.vn/product-p272270710.html?spid=272270712,available,1000,1000
197603286,246545,dokafashion,"Áo Khoác Da Nam, Áo Khoác Da Lót Lông Siêu Ấm Mùa Thu Đông Phối Khóa Đồng Cao Cấp Thời Trang DokaFashion ELD14",Áo khoác da nam,280000,48,579000,299000,4.5,17,2705351743967,https://tiki.vn/product-p197603286.html?spid=197603288,available,1000,1000
164215460,111461,OEM,quần jean nam ống suôn co giãn,Root,0,0,99000,99000,4.6,14,8362557613808,https://tiki.vn/product-p164215460.html?spid=205293156,available,1000,1000
11203758,111461,OEM,Combo 4 Quần Sịp Đùi Boxer  Thông Hơi Thoáng Mát - Quần Lót Nam (Giao Màu Ngẫu Nhiên),Thời Trang,0,0,85000,85000,4.5,882,8815914845331,https://tiki.vn/product-p11203758.html?spid=11203760,available,1000,1000
146265626,740219,Jinrinteen,"Áo hoodie nỉ bông unisex Homies liền mũ có túi in hình UNFL, Áo hoodie unisex nam nữ nỉ Unfl Studio video thật tại Shop ,Áo nỉ bông ulzzang unisex nam nữ siêu đẹp, Áo khoác Nỉ Có Mũ Túi Bụng Phong Cách Hàn Quốc",Áo hoodies nam vải nỉ,0,0,100000,100000,5.0,47,9678937745474,https://tiki.vn/product-p146265626.html?spid=146265628,available,1000,1000
34328573,273717,GOKING,"Áo thun nam thoát nhiệt Nhật Bản GOKING, chất liệu tự nhiên 100% cotton thoáng mát, thấm hút mồ hôi",Thời Trang,0,0,159000,159000,4.8,166,8703046886929,https://tiki.vn/product-p34328573.html?spid=34328576,available,1000,1000
111560211,5003355,US ARMY,Quần Túi Hộp Nam Kaki Thời Trang Phong Cách Thể Thao US678 Chất Vải Kaki Cao Cấp Phong Cách Lính- HÀNG CHÍNH HÃNG,Quần kaki nam dài,329000,50,658000,329000,5.0,68,8507863555822,https://tiki.vn/product-p111560211.html?spid=174134395,available,1000,1000
92807600,221573,Amazing,"Quần short kaki Amazing, lưng thun có giây rút, vải kaki dày dặn, co giãn nhẹ, nhiều màu, có size lớn",Quần kaki nam ngắn,80000,33,239000,159000,4.5,32,2809805072279,https://tiki.vn/product-p92807600.html?spid=92807650,available,1000,1000
87267258,111461,OEM,Quần lót dùng 1 lần Procare Cotton Nam,Quần lót nam,0,0,32000,32000,4.7,3,3415054113483,https://tiki.vn/product-p87267258.html?spid=87267344,available,1000,1000
207343688,718933,ARADO FASHION,"Áo hoodie, áo sweater thời trang unisex, phong cách năng động, stye hàn quốc - FORMEN SHOP - GV",Áo hoodies nam vải nỉ,91000,48,190000,99000,0.0,0,8757218417010,https://tiki.vn/product-p207343688.html?spid=207343702,available,1000,1000
251268901,111461,OEM,Áo gile nam ARM-920,Thời trang nam,0,0,320000,320000,5.0,3,3757139421378,https://tiki.vn/product-p251268901.html?spid=251268909,available,1000,1000
74259828,111461,OEM,Áo Hoodie Nỉ Bông Trơn  Unisex 5 màu (nam nữ đều mặc được),Áo hoodies nam vải nỉ,0,0,85000,85000,4.5,121,6941018411430,https://tiki.vn/product-p74259828.html?spid=75553291,available,1000,1000
